S. No,SCHOOL ID,ZONE,NAME OF SCHOOL,HoS Name,Contact Number,Shift,SchoolLevel,Gender,Phone,Latitude,Longitude,Boys,Girls,Total,Career tour already conducting,Daignosis,Metro station
1,1958007,Central,BAGH NATHU SINGH (CO-ED)-1958007,KIRAN KUMARI,8130421632,General,Primary,Co-ed,,28.5749582496927,77.2220173161317,10,4,14,,,
2,1958127,Central,MOLARBAND VILLAGE (BOYS)-1958127,MAHENDRA KUMAR GUPTA,9868311610,Evening,Primary,Boys,,28.5016428172151,77.31291079532,53,0,53,,,
3,1958002,Central,SEWA NAGAR WEST (CO-ED)-1958002,MUKESH KUMAR,9868678317,General,Primary,Co-ed,,28.5762102689551,77.227975848758,41,21,62,,,
4,1958134,Central,BADARPUR (GIRLS)-1958134,SHOBHA SHARMA,9650982403,Morning,Primary,Girls,,28.5034249086638,77.302114230561,0,75,75,Badarpur Shiv Mandir(Girls),yes,
5,1958003,Central,SEWA NAGAR N BLOCK (CO-ED)-1958003,SNEH LATA,9205338672,General,Primary,Co-ed,,28.5782923651736,77.2290937088875,43,23,66,,,
6,1958017,Central,AMAR COLONY (CO-ED)-1958017,TRIPTI,9873571522,General,Primary,Co-ed,,28.5602598288128,77.240894083228,36,34,70,,,
7,1958035,Central,JEEVAN NAGAR (CO-ED)-1958035,REKHA SAINI,9968285592,General,Primary,Co-ed,,28.5775190868275,77.2587887916105,25,44,69,,,
8,1958015,Central,LAJPAT NAGAR PART III (CO-ED)-1958015,SRINIWAS TIWARI,9868908755,General,Primary,Co-ed,,28.5684398893506,77.2378027955487,66,41,107,,,
9,1958099,Central,TUGLAKABAD EXTENSION NO.2 (GIRLS)-1958099,RAM DAYAL GARG,9873710501,Morning,Primary,Girls,,28.5233633483114,77.262148140878,0,143,143,,,
10,1958041,Central,D-BLOCK NEW FRIENDS COLONY HINDI & URDU (CO-ED)-1958041,GHAZALA ZAMIR,8076699247,General,Primary,Co-ed,,28.5667330172378,77.2676865302338,99,86,185,Taimoor Nagar D Block Friends Colony(Coed),yes,
11,1958011,Central,SOUTH EXTN NEW PART II (CO-ED)-1958011,NEELAM KUJUR,8586057322,General,Primary,Co-ed,,28.5669699032252,77.2201835262108,9,5,14,,,
12,1958452,Central,MADANPUR KHADAR PHASE 2 (BOYS)-1958452,MANJU BALA,8178970107,Evening,Primary,Boys,,28.5292987276317,77.3166079642355,87,0,87,,,
13,1958046,Central,KHIZRABAD HINDI (BOYS)-1958046,NIKHAT JAHAN,9891763858,Evening,Primary,Boys,,28.5733904939473,77.2722237697244,63,0,63,,,
14,1958109,Central,SANGAM VIHAR F2-BLOCK (BOYS)-1958109,AMIT PRABHAKAR,9311363526,Evening,Primary,Boys,,28.498562775661,77.2452350131109,82,0,82,,,
15,1958141,Central,AALI VILLAGE (BOYS)-1958141,MD KHURSHID NASIR,9811338499,Evening,Primary,Boys,,28.517690891346,77.3059062966028,109,0,109,,,
16,1958081,Central,KALKAJI B-BLOCK (CO-ED)-1958081,ANITA SAINI,9891098214,General,Primary,Co-ed,,28.5435761172013,77.2511233039709,48,57,105,,yes,Nehru Enclave
17,1958108,Central,SANGAM VIHAR F2-BLOCK (GIRLS)-1958108,TARA CHAND MAHAWAR,9868731910,Morning,Primary,Girls,,28.498562775661,77.2452350131109,0,87,87,,,
18,1958137,Central,GAUTAM PURI NO 2 (GIRLS)-1958137,SUNITA SINGH,9958306006,Morning,Primary,Girls,,28.5135381419148,77.3012174832709,0,75,75,,,
19,1958147,Central,MADANPUR KHADAR PHASE 2 (GIRLS)-1958147,TANWEER AHMAD ASI,9958481936,Morning,Primary,Girls,,28.5292787538529,77.3166313141162,0,98,98,,,
20,2162016,Central,SARAI KALE KHAN (BOYS)-2162016,RAJKUMAR SAH,9717216505,Evening,Primary,Boys,,28.583619145152,77.2559036848814,118,0,118,,,
21,1958132,Central,TAJPUR PAHARI (GIRLS)-1958132,KANTA KUMARI DAGAR,7840021170,Morning,Primary,Girls,,28.4979103476624,77.3046774457966,0,94,94,,,
22,1958085,Central,GOVIND PURI KALKAJI (CO-ED)-1958085,AKHILESHWAR NARAYAN PATHAK,7838055863,Morning,Primary,Girls,,28.5383185631344,77.2612315630201,47,61,108,,,
23,1958130,Central,TAJPUR VILLAGE (GIRLS)-1958130,PARMESHWARI,8076757211,Morning,Primary,Girls,,28.4944362870158,77.3035606184127,0,107,107,,yes,Badarpur Border
24,1958128,Central,MOLARBAND EXTN (GIRLS)-1958128,SARJU DAS,8447132493,Morning,Primary,Girls,,28.4884424325269,77.3096116507473,0,102,102,,,
25,1958123,Central,MEETHAPUR VILLAGE (BOYS)-1958123,HARI KRASHAN,9868570353,Evening,Primary,Boys,,28.4986936714715,77.3171730603096,126,0,126,,,
26,1958058,Central,ZAKIR NAGAR HINDI (BOYS)-1958058,MOHD EHTESHAMUDDIN,9716172120,Evening,Primary,Boys,,28.5666108931817,77.2849606062019,148,0,148,Zakir Nagar Okhla(Boys),yes,
27,1958146,Central,MADANPUR KHADAR PHASE 1 (GIRLS)-1958146,SATISH CHAND,9911460442,Morning,Primary,Girls,,28.5279113778181,77.3183801406365,0,136,136,,,
28,1958102,Central,PUL PEHLADPUR (GIRLS)-1958102,ALKA CHUGH,9999992742,Morning,Primary,Girls,,28.4985981108659,77.290007653183,0,161,161,,,
29,1958150,Central,JASOLA VILLAGE (BOYS)-1958150,PREETI ANAND,8178528458,Evening,Primary,Boys,,28.5488940999379,77.2928159115673,268,0,268,,,
30,1958023,Central,LAJPAT NAGAR PART I (CO-ED)-1958023,VINAY SHARMA,8750977556,General,Primary,Co-ed,,28.5768828221173,77.2393336852667,3,3,6,,,
31,1958024,Central,LAJPAT NAGAR PART II (CO-ED)-1958024,SHISHIR PRABHA DODRAI,9958850131,General,Primary,Co-ed,,28.56942859327,77.2484815156702,11,8,19,,,
32,1958020,Central,JANGPURA EXTENSION (CO-ED)-1958020,MANISHA GUPTA,9518251712,General,Primary,Co-ed,,28.5796176708413,77.2504418805784,13,12,25,,,
33,1958038,Central,BHARAT NAGAR (GIRLS)-1958038,NAHIDA BEGUM,8810389924,General,Primary,Girls,,28.5635828730368,77.2705104275014,0,31,31,,,
34,1958010,Central,SOUTH EXTN PART I (CO-ED)-1958010,DOLLY KALRA,9999189340,General,Primary,Co-ed,,28.5707530033236,77.222504294541,21,5,26,,,
35,1958084,Central,KALKAJI CENTRAL (CO-ED)-1958084,SUSHMA RANI,9818778113,General,Primary,Co-ed,,28.5437934256575,77.2634723268853,26,27,53,Kalkaji DD Block(Coed),yes,
36,1958044,Central,MASIH GARH (CO-ED)-1958044,NOOR AFSHA,7838827498,General,Primary,Co-ed,,28.5581818709259,77.2743411414133,23,22,45,Masih Garh(Coed),yes,
37,1958087,Central,GIRI NAGAR (CO-ED)-1958087,DIVYA SIRPAUL,9810145029,General,Primary,Co-ed,9871102394.0,28.5401385425966,77.2624998860174,26,19,45,Giri Nagar(Coed),yes,
38,1958018,Central,LAJPAT NAGAR IV (BOYS)-1958018,ZAHEER AHMAD ANSARI,9990324177,General,Primary,Boys,,28.5625295659477,77.2483062149818,63,0,63,,,
39,1958019,Central,LAJPAT NAGAR IV (GIRLS)-1958019,BHARTI MENDIRATTA,9999292101,General,Primary,Girls,,28.5625295659477,77.2483062149818,0,62,62,,,
40,1958016,Central,ANDREWJ GANJ (CO-ED)-1958016,INDU BATRA,9899200662,General,Primary,Co-ed,,28.5656264216277,77.2301485014949,35,20,55,,,
41,1958126,Central,MOLARBAND VILLAGE (GIRLS)-1958126,GAYATRI DEVI,7291830957,Morning,Primary,Girls,,28.5016490438688,77.3127974297839,0,68,68,,,
42,1958095,Central,TUGLAKABAD VILLAGE (BOYS)-1958095,AJAY KUMAR ASTHANA,9910758244,General,Primary,Boys,,28.523352675767,77.2621458921995,89,0,89,,,
43,1958093,Central,RAILWAY COLONY BADARPUR (GIRLS)-1958093,JAGMOHAN LAL MEENA,9868853457,Morning,Primary,Girls,,28.5026094373493,77.2904582915349,0,114,114,,,
44,1958100,Central,TUGLAKABAD EXTENSION NO.2 (BOYS)-1958100,ARVIND KUMAR MISHRA,9868522274,Morning,Primary,Boys,,28.5233633483114,77.262148140878,172,0,172,,,
45,1958106,Central,LAL KUAN CENTRAL (CO-ED)-1958106,SECUNDA BELY KUJUR,9871993804,Morning,Primary,Girls,,28.4982721010701,77.2858739674559,124,128,252,,yes,Tughlakabad
